,location_state,salary
0,AK,115576
1,AZ,115278
2,CA,117694
3,CO,112420
4,CT,120000
5,DC,118140
6,DE,90000
7,FL,91326
8,GA,100450
9,HI,64858
10,IL,95446
11,IN,67000
12,KY,71729
13,MA,69377
14,MD,93210
15,MI,105250
16,MO,100198
17,NC,76576
18,NJ,99800
19,NY,107974
20,OH,93424
21,PA,94361
22,RI,145000
24,SC,97500
25,TN,96485
26,TX,125405
27,UT,100242
28,VA,107150
29,WA,119772
30,WI,75000
